
###################################################
### Dimensionality Reduction Methods Comparison ###
###################################################

Loading highd (d=128) dataset...
n * d = 1024 * 128
n_clusters = 16
R = 3
n	d	n_clust	test_pr	eval_against	method	k	k/d	vmeas	vmeas_e	time
1024	128	16	kneigh_	gr-truth	-	-	-	1.000	0.00	0.161282	
1024	128	16	kneigh_	gr-truth	Achliop	50	0.39062	1.000	0.00	0.157222	/
1024	128	16	kneigh_	baseline	Achliop	50	0.39062	1.000	0.00	0.157003	/
1024	128	16	kneigh_	gr-truth	Achliop	20	0.15625	1.000	0.00	0.153030	/
1024	128	16	kneigh_	baseline	Achliop	20	0.15625	1.000	0.00	0.154699	/
1024	128	16	kneigh_	gr-truth	Achliop	10	0.07812	1.000	0.00	0.152641	/
1024	128	16	kneigh_	baseline	Achliop	10	0.07812	1.000	0.00	0.159041	/
1024	128	16	kneigh_	gr-truth	Achliop	5	0.03906	1.000	0.00	0.152992	/
1024	128	16	kneigh_	baseline	Achliop	5	0.03906	1.000	0.00	0.154537	/
1024	128	16	kneigh_	gr-truth	Achliop	1	0.00781	0.911	0.01	0.155035	/
1024	128	16	kneigh_	baseline	Achliop	1	0.00781	0.924	0.03	0.155533	/
1024	128	16	kneigh_	gr-truth	FastJLT	50	0.39062	0.893	0.02	0.157836	0.1414213562373095
1024	128	16	kneigh_	baseline	FastJLT	50	0.39062	0.867	0.06	0.157280	0.1414213562373095
1024	128	16	kneigh_	gr-truth	FastJLT	20	0.15625	0.904	0.02	0.155016	0.22360679774997896
1024	128	16	kneigh_	baseline	FastJLT	20	0.15625	0.886	0.02	0.156522	0.22360679774997896
1024	128	16	kneigh_	gr-truth	FastJLT	10	0.07812	0.901	0.04	0.155087	0.31622776601683794
1024	128	16	kneigh_	baseline	FastJLT	10	0.07812	0.913	0.02	0.155825	0.31622776601683794
1024	128	16	kneigh_	gr-truth	FastJLT	5	0.03906	0.867	0.03	0.158487	0.4472135954999579
1024	128	16	kneigh_	baseline	FastJLT	5	0.03906	0.922	0.03	0.155572	0.4472135954999579
1024	128	16	kneigh_	gr-truth	FastJLT	1	0.00781	0.893	0.03	0.156114	1.0
1024	128	16	kneigh_	baseline	FastJLT	1	0.00781	0.926	0.01	0.155615	1.0
1024	128	16	kneigh_	gr-truth	sampDim	50	0.39062	1.000	0.00	0.177112	
1024	128	16	kneigh_	baseline	sampDim	50	0.39062	1.000	0.00	0.157586	
1024	128	16	kneigh_	gr-truth	sampDim	20	0.15625	1.000	0.00	0.158336	
1024	128	16	kneigh_	baseline	sampDim	20	0.15625	1.000	0.00	0.157835	
