n,d,n_clust,test_pr,eval_against,method,methodname,k,k/d,vmeas,vmeas_e1,time,eps
7000,5000,2,kneigh_,gr-truth,0,Baseline,5000,1.0,0.461,0.0,194.63620600000002,\
7000,5000,2,kneigh_,baseline,2,Sample dimensions,50,0.01,0.207,0.09315,4.381151999999999,/
7000,5000,2,kneigh_,baseline,2,Sample dimensions,20,0.004,0.107,0.04815,3.50852,/
7000,5000,2,kneigh_,baseline,2,Sample dimensions,10,0.002,0.064,0.032,3.9799919999999998,/
7000,5000,2,kneigh_,baseline,2,Sample dimensions,5,0.001,0.013000000000000001,0.006500000000000001,4.087167,/
7000,5000,2,kneigh_,baseline,2,Sample dimensions,1,0.0002,-0.0,0.0,6.66175,/
7000,5000,2,kneigh_,baseline,1,Highest-variance,50,0.01,0.611,0.0,4.002312,/
7000,5000,2,kneigh_,baseline,1,Highest-variance,20,0.004,0.523,0.0,3.410827,/
7000,5000,2,kneigh_,baseline,1,Highest-variance,10,0.002,0.48700000000000004,0.0,2.868902,/
7000,5000,2,kneigh_,baseline,1,Highest-variance,5,0.001,0.41600000000000004,0.0,2.4119029999999997,/
7000,5000,2,kneigh_,baseline,1,Highest-variance,1,0.0002,0.033,0.0,4.398213,/
7000,5000,2,kneigh_,baseline,5,PCA,50,0.01,0.41600000000000004,0.0,4.151921,/
7000,5000,2,kneigh_,baseline,5,PCA,20,0.004,0.475,0.0,3.3875589999999995,/
7000,5000,2,kneigh_,baseline,5,PCA,10,0.002,0.532,0.0,3.010821,/
7000,5000,2,kneigh_,baseline,5,PCA,5,0.001,0.514,0.0,2.527777,/
7000,5000,2,kneigh_,baseline,5,PCA,1,0.0002,0.306,0.0,1.661862,/
7000,5000,2,kneigh_,baseline,6,Factor Analysis,50,0.01,0.008,0.0,4.2029,/
7000,5000,2,kneigh_,baseline,6,Factor Analysis,20,0.004,0.225,0.0,3.503052,/
7000,5000,2,kneigh_,baseline,6,Factor Analysis,10,0.002,0.418,0.0,3.126841,/
7000,5000,2,kneigh_,baseline,6,Factor Analysis,5,0.001,0.507,0.0,2.564469,/
7000,5000,2,kneigh_,baseline,6,Factor Analysis,1,0.0002,0.205,0.0,1.7984470000000001,/
7000,5000,2,kneigh_,baseline,3,Coin flip,50,0.01,0.207,0.031049999999999998,4.994522,/
7000,5000,2,kneigh_,baseline,3,Coin flip,20,0.004,0.17600000000000002,0.05808000000000001,3.626265,/
7000,5000,2,kneigh_,baseline,3,Coin flip,10,0.002,0.08900000000000001,0.037380000000000004,3.266982,/
7000,5000,2,kneigh_,baseline,3,Coin flip,5,0.001,0.026000000000000002,0.013000000000000001,2.8353029999999997,/
7000,5000,2,kneigh_,baseline,3,Coin flip,1,0.0002,0.005,0.0025,1.8962169999999998,/
7000,5000,2,kneigh_,baseline,4,Fast JL Transform,50,0.01,0.022000000000000002,0.00902,2.252359,0.1414213562373095
7000,5000,2,kneigh_,baseline,4,Fast JL Transform,20,0.004,0.017,0.0085,2.652996,0.22360679774997896
7000,5000,2,kneigh_,baseline,4,Fast JL Transform,10,0.002,0.01,0.005,3.5439339999999997,0.31622776601683794
7000,5000,2,kneigh_,baseline,4,Fast JL Transform,5,0.001,-0.0,0.0,2.927743,0.4472135954999579
7000,5000,2,kneigh_,baseline,4,Fast JL Transform,1,0.0002,0.02,0.01,2.802362,1.0
