n,d,n_clust,test_pr,eval_against,method,methodname,k,k/d,vmeas,vmeas_e1,time,eps
1024,128,16,kneigh_,gr-truth,0,Baseline,128,1.0,1.0,0.0,0.161282,\
1024,128,16,kneigh_,baseline,2,Sample dimensions,50,0.39062,1.0,0.0,0.157586/,nan
1024,128,16,kneigh_,baseline,2,Sample dimensions,20,0.15625,1.0,0.0,0.157835/,nan
1024,128,16,kneigh_,baseline,2,Sample dimensions,10,0.07812,1.0,0.0,0.147796/,nan
1024,128,16,kneigh_,baseline,2,Sample dimensions,5,0.03906,1.0,0.0,0.156878/,nan
1024,128,16,kneigh_,baseline,2,Sample dimensions,1,0.00781,0.8740000000000001,0.04370000000000001,0.158432/,nan
1024,128,16,kneigh_,baseline,1,Highest-variance,50,0.39062,1.0,0.0,0.157995/,nan
1024,128,16,kneigh_,baseline,1,Highest-variance,20,0.15625,1.0,0.0,0.158840/,nan
1024,128,16,kneigh_,baseline,1,Highest-variance,10,0.07812,1.0,0.0,0.157987/,nan
1024,128,16,kneigh_,baseline,1,Highest-variance,5,0.03906,1.0,0.0,0.159908/,nan
1024,128,16,kneigh_,baseline,1,Highest-variance,1,0.00781,0.9129999999999999,0.0,0.158326/,nan
1024,128,16,kneigh_,baseline,5,PCA,50,0.39062,1.0,0.0,0.156239/,nan
1024,128,16,kneigh_,baseline,5,PCA,20,0.15625,1.0,0.0,0.154621/,nan
1024,128,16,kneigh_,baseline,5,PCA,10,0.07812,1.0,0.0,0.156121/,nan
1024,128,16,kneigh_,baseline,5,PCA,5,0.03906,1.0,0.0,0.159713/,nan
1024,128,16,kneigh_,baseline,5,PCA,1,0.00781,0.9540000000000001,0.0,0.175932/,nan
1024,128,16,kneigh_,baseline,6,Factor Analysis,50,0.39062,1.0,0.0,0.280903/,nan
1024,128,16,kneigh_,baseline,6,Factor Analysis,20,0.15625,0.998,0.0,0.160815/,nan
1024,128,16,kneigh_,baseline,6,Factor Analysis,10,0.07812,1.0,0.0,0.168773/,nan
1024,128,16,kneigh_,baseline,6,Factor Analysis,5,0.03906,1.0,0.0,0.171167/,nan
1024,128,16,kneigh_,baseline,6,Factor Analysis,1,0.00781,0.934,0.0,0.168394/,nan
1024,128,16,kneigh_,baseline,3,Coin flip,50,0.39062,1.0,0.0,0.157003,/
1024,128,16,kneigh_,baseline,3,Coin flip,20,0.15625,1.0,0.0,0.154699,/
1024,128,16,kneigh_,baseline,3,Coin flip,10,0.07812,1.0,0.0,0.159041,/
1024,128,16,kneigh_,baseline,3,Coin flip,5,0.03906,1.0,0.0,0.154537,/
1024,128,16,kneigh_,baseline,3,Coin flip,1,0.00781,0.924,0.02772,0.155533,/
1024,128,16,kneigh_,baseline,4,Fast JL Transform,50,0.39062,0.867,0.05202,0.157280,0.1414213562373095
1024,128,16,kneigh_,baseline,4,Fast JL Transform,20,0.15625,0.8859999999999999,0.01772,0.156522,0.22360679774997896
1024,128,16,kneigh_,baseline,4,Fast JL Transform,10,0.07812,0.9129999999999999,0.01826,0.155825,0.31622776601683794
1024,128,16,kneigh_,baseline,4,Fast JL Transform,5,0.03906,0.922,0.02766,0.155572,0.4472135954999579
1024,128,16,kneigh_,baseline,4,Fast JL Transform,1,0.00781,0.9259999999999999,0.00926,0.155615,1.0
