n,d,n_clust,test_pr,eval_against,method,methodname,k,k/d,vmeas,vmeas_e1,time,eps
1024,512,16,kmeans_,gr-truth,0,Baseline,512,1.0,1.0,0.0,1.041538,\
1024,512,16,kmeans_,baseline,2,Sample dimensions,50,0.09766,1.0,0.0,0.302538/,nan
1024,512,16,kmeans_,baseline,2,Sample dimensions,20,0.03906,1.0,0.0,0.249201/,nan
1024,512,16,kmeans_,baseline,2,Sample dimensions,10,0.01953,1.0,0.0,0.259886/,nan
1024,512,16,kmeans_,baseline,2,Sample dimensions,5,0.00977,1.0,0.0,0.039278/,nan
1024,512,16,kmeans_,baseline,2,Sample dimensions,1,0.00195,0.9440000000000001,0.01888,0.044158/,nan
1024,512,16,kmeans_,baseline,1,Highest-variance,50,0.09766,1.0,0.0,0.297301/,nan
1024,512,16,kmeans_,baseline,1,Highest-variance,20,0.03906,1.0,0.0,0.273013/,nan
1024,512,16,kmeans_,baseline,1,Highest-variance,10,0.01953,1.0,0.0,0.243675/,nan
1024,512,16,kmeans_,baseline,1,Highest-variance,5,0.00977,1.0,0.0,0.038072/,nan
1024,512,16,kmeans_,baseline,1,Highest-variance,1,0.00195,0.932,0.00932,0.042622/,nan
1024,512,16,kmeans_,baseline,5,PCA,50,0.09766,1.0,0.0,0.303611/,nan
1024,512,16,kmeans_,baseline,5,PCA,20,0.03906,1.0,0.0,0.278412/,nan
1024,512,16,kmeans_,baseline,5,PCA,10,0.01953,1.0,0.0,0.265826/,nan
1024,512,16,kmeans_,baseline,5,PCA,5,0.00977,1.0,0.0,0.095672/,nan
1024,512,16,kmeans_,baseline,5,PCA,1,0.00195,1.0,0.0,0.130996/,nan
1024,512,16,kmeans_,baseline,6,Factor Analysis,50,0.09766,0.976,0.0,0.341465/,nan
1024,512,16,kmeans_,baseline,6,Factor Analysis,20,0.03906,0.998,0.0,0.229378/,nan
1024,512,16,kmeans_,baseline,6,Factor Analysis,10,0.01953,1.0,0.0,0.301479/,nan
1024,512,16,kmeans_,baseline,6,Factor Analysis,5,0.00977,1.0,0.0,0.107939/,nan
1024,512,16,kmeans_,baseline,6,Factor Analysis,1,0.00195,0.998,0.0,0.111464,/
1024,512,16,kmeans_,baseline,3,Coin flip,50,0.09766,1.0,0.0,0.300791,/
1024,512,16,kmeans_,baseline,3,Coin flip,20,0.03906,1.0,0.0,0.265991,/
1024,512,16,kmeans_,baseline,3,Coin flip,10,0.01953,1.0,0.0,0.247591,/
1024,512,16,kmeans_,baseline,3,Coin flip,5,0.00977,1.0,0.0,0.125830,/
1024,512,16,kmeans_,baseline,3,Coin flip,1,0.00195,0.9470000000000001,0.018940000000000002,0.085459,/
1024,512,16,kmeans_,baseline,4,Fast JL Transform,50,0.09766,0.953,0.03812,0.236867,0.1414213562373095
1024,512,16,kmeans_,baseline,4,Fast JL Transform,20,0.03906,0.9359999999999999,0.0468,0.208281,0.22360679774997896
1024,512,16,kmeans_,baseline,4,Fast JL Transform,10,0.01953,0.9309999999999999,0.009309999999999999,0.185661,0.31622776601683794
1024,512,16,kmeans_,baseline,4,Fast JL Transform,5,0.00977,0.943,0.00943,0.133021,0.4472135954999579
1024,512,16,kmeans_,baseline,4,Fast JL Transform,1,0.00195,0.9390000000000001,0.02817,0.116517,1.0
