n,d,n_clust,test_pr,eval_against,method,methodname,k,k/d,vmeas,vm_min,vm_max,t_red,tred_min,tred_max,t_test,ttest_min,ttest_max,t_tot,ttot_min,ttot_max,eps,splitter
1024,1024,16,kmeans_,gr-truth,4,Fast JL Transform,512,0.5,1.0,0.0,0.0,0.13541,0.02258,0.02259,1.08578,0.11275999999999999,0.08241,1.22119,0.13534,0.105,0.044,"$\text{Synt. }(d=1024)\text{, K-means}$"
1024,1024,16,kmeans_,gr-truth,4,Fast JL Transform,204,0.19922,1.0,0.0,0.0,0.10904,0.01312,0.01434,0.59611,0.05889,0.04244,0.70515,0.072,0.05678,0.070,"$\text{Synt. }(d=1024)\text{, K-means}$"
1024,1024,16,kmeans_,gr-truth,4,Fast JL Transform,102,0.09961,1.0,0.0,0.0,0.12472,0.02641,0.01998,0.42473,0.05035,0.11731,0.54945,0.07676,0.13729,0.099,"$\text{Synt. }(d=1024)\text{, K-means}$"
1024,1024,16,kmeans_,gr-truth,4,Fast JL Transform,51,0.0498,1.0,0.0,0.0,0.11316,0.02126,0.04046,0.24058,0.0101,0.01433,0.35373,0.03136,0.0548,0.140,"$\text{Synt. }(d=1024)\text{, K-means}$"
1024,1024,16,kmeans_,gr-truth,4,Fast JL Transform,10,0.00977,1.0,0.0,0.0,0.10094,0.01037,0.01335,0.22508,0.027010000000000003,0.045630000000000004,0.32602,0.03738,0.05898,0.316,"$\text{Synt. }(d=1024)\text{, K-means}$"
1024,1024,16,kmeans_,gr-truth,4,Fast JL Transform,5,0.00488,1.0,0.0,0.0,0.05971,0.01394,0.04468,0.02969,0.00251,0.0030600000000000002,0.0894,0.01645,0.04773,0.447,"$\text{Synt. }(d=1024)\text{, K-means}$"
1024,1024,16,kmeans_,gr-truth,4,Fast JL Transform,1,0.00098,0.934,0.035,0.046,0.04534,0.00272,0.00389,0.02748,0.00116,0.00172,0.07283,0.00388,0.00562,1.000,"$\text{Synt. }(d=1024)\text{, K-means}$"
10000,784,10,kneigh_,gr-truth,4,Fast JL Transform,392,0.5,0.705,0.004,0.005,1.23472,0.46531,0.83311,34.14395,2.41032,4.22006,35.37867,2.87563,5.05317,0.051,"$\text{MNIST }(d=784)\text{, KNN}$"
10000,784,10,kneigh_,gr-truth,4,Fast JL Transform,156,0.19898,0.684,0.013,0.019,0.83065,0.08956,0.11891,13.54987,0.38544,0.79434,14.38052,0.475,0.91325,0.080,"$\text{MNIST }(d=784)\text{, KNN}$"
10000,784,10,kneigh_,gr-truth,4,Fast JL Transform,78,0.09949,0.66,0.015,0.021,1.5249,0.57156,1.27061,101.0955,94.63555,375.33695102.62040,95.20710,376.60756,0.113,0.11322,"$\text{MNIST }(d=784)\text{, KNN}$"
