n,d,n_clust,test_pr,eval_against,method,methodname,k,k/d,vmeas,vm_min,vm_max,t_red,tred_min,tred_max,t_test,ttest_min,ttest_max,t_tot,ttot_min,ttot_max,eps
7000,5000,2,kmeans_,gr-truth,0,Baseline,5000,1.0,0.122,0.001,0.001,0.0,-inf,0.0,43.44994,11.166080000000001,14.458229999999999,43.44994,-inf,14.458229999999999,
7000,5000,2,kmeans_,gr-truth,1,Highest dispersion,2500,0.5,0.009,0.0,0.0,1.01963,0.69352,1.70721,9.2016,2.27014,2.86393,10.22123,2.96366,4.57113,/
7000,5000,2,kmeans_,gr-truth,1,Highest dispersion,1000,0.2,0.003,0.0,0.0,0.91595,0.58449,2.15701,2.59754,0.47523999999999994,1.17359,3.51349,1.05973,3.3306,/
7000,5000,2,kmeans_,gr-truth,1,Highest dispersion,500,0.1,0.002,0.0,0.0,0.32423,0.01299,0.02092,1.12525,0.039189999999999996,0.04286,1.44948,0.05218,0.06379,/
7000,5000,2,kmeans_,gr-truth,1,Highest dispersion,250,0.05,0.001,0.0,0.0,0.36173,0.0443,0.0906,0.64649,0.0236,0.048839999999999995,1.00822,0.06791,0.13945,/
7000,5000,2,kmeans_,gr-truth,1,Highest dispersion,50,0.01,0.0,0.0,0.0,0.37631,0.02665,0.02731,0.22829,0.01569,0.035289999999999995,0.6046,0.04234,0.0626,/
7000,5000,2,kmeans_,gr-truth,1,Highest dispersion,25,0.005,-0.0,0.0,0.0,0.33604,0.02919,0.07607,1.1369,0.03793,0.05152999999999999,1.47295,0.06713,0.1276,/
7000,5000,2,kmeans_,gr-truth,1,Highest dispersion,5,0.001,-0.0,0.0,0.0,0.32011,0.00787,0.01344,0.95346,0.08311,0.12093,1.27356,0.09098,0.13437000000000002,/
7000,5000,2,kmeans_,gr-truth,1,Highest dispersion,2,0.0004,-0.0,0.0,0.0,0.33612,0.02626,0.05068,0.91578,0.05811,0.04877,1.2519,0.08437,0.09945,/
7000,5000,2,kmeans_,gr-truth,1,Highest dispersion,1,0.0002,-0.0,0.0,0.0,0.37664,0.07306,0.14288,0.54988,0.037,0.03713,0.92653,0.11007,0.18001,/
7000,5000,2,kmeans_,gr-truth,2,Sample dimensions,2500,0.5,0.117,0.032,0.031,1.13792,0.73321,0.76265,8.98398,1.43245,3.08066,10.12189,2.16565,3.84331,/
7000,5000,2,kmeans_,gr-truth,2,Sample dimensions,1000,0.2,0.119,0.044,0.05,0.18377,0.14686,0.55166,3.10912,0.72921,0.65154,3.29289,0.87607,1.2032,/
7000,5000,2,kmeans_,gr-truth,2,Sample dimensions,500,0.1,0.088,0.084,0.103,0.01736,0.00647,0.00584,1.65611,0.18891,0.17415999999999998,1.67347,0.19539,0.17999,/
