n,d,n_clust,test_pr,eval_against,method,methodname,k,k/d,vmeas,vm_min,vm_max,t_red,tred_min,tred_max,t_test,ttest_min,ttest_max,t_tot,ttot_min,ttot_max,eps
10000,784,10,kmeans_,gr-truth,0,Baseline,784,1.0,0.502,0.003,0.002,0.0,-inf,0.0,13.95638,2.3205400000000003,4.67583,13.95638,-inf,4.67583,
10000,784,10,kmeans_,gr-truth,1,Highest dispersion,392,0.5,0.479,0.014,0.016,0.1486,0.03493,0.10622,5.86391,0.43146,0.41078000000000003,6.0125,0.4664,0.517,/
10000,784,10,kmeans_,gr-truth,1,Highest dispersion,156,0.19898,0.292,0.002,0.003,0.18232,0.10553,0.11981,2.67078,0.34026999999999996,0.52565,2.8531,0.4458,0.64545,/
10000,784,10,kmeans_,gr-truth,1,Highest dispersion,78,0.09949,0.243,0.001,0.002,0.17876,0.06988,0.11915,1.48806,0.15938,0.22241,1.66682,0.22927,0.34156,/
10000,784,10,kmeans_,gr-truth,1,Highest dispersion,39,0.04974,0.229,0.0,0.0,0.11416,0.02785,0.05022,0.97128,0.1114,0.0996,1.08544,0.13925,0.14982,/
10000,784,10,kmeans_,gr-truth,1,Highest dispersion,7,0.00893,0.138,0.003,0.001,0.11581,0.02142,0.01631,0.52185,0.03443,0.05611,0.63766,0.05585,0.07242,/
10000,784,10,kmeans_,gr-truth,1,Highest dispersion,3,0.00383,0.114,0.0,0.001,0.09841,0.0266,0.02459,0.39946,0.04746,0.03221,0.49787,0.07406,0.05681,/
10000,784,10,kmeans_,gr-truth,1,Highest dispersion,1,0.00128,0.102,0.0,0.0,0.10776,0.02926,0.04538,0.09606,0.00795,0.00967,0.20382,0.03721,0.05505,/
10000,784,10,kmeans_,gr-truth,2,Sample dimensions,392,0.5,0.482,0.034,0.023,0.08973,0.01188,0.02774,5.82118,0.7421,0.47636999999999996,5.91091,0.75398,0.5041100000000001,/
10000,784,10,kmeans_,gr-truth,2,Sample dimensions,156,0.19898,0.421,0.018,0.04,0.03211,0.00362,0.00915,2.72392,0.45628,0.423,2.75603,0.4599,0.43215,/
10000,784,10,kmeans_,gr-truth,2,Sample dimensions,78,0.09949,0.348,0.019,0.03,0.01463,0.00068,0.00106,1.71687,0.19147,0.20269,1.7315,0.19216,0.20376,/
10000,784,10,kmeans_,gr-truth,2,Sample dimensions,39,0.04974,0.274,0.037,0.047,0.00764,0.00037,0.00076,1.22102,0.13333,0.08638,1.22866,0.1337,0.08715,/
10000,784,10,kmeans_,gr-truth,2,Sample dimensions,7,0.00893,0.136,0.068,0.067,0.00166,0.00011,0.00013,0.53293,0.107,0.13560999999999998,0.53459,0.10711,0.13575,/
10000,784,10,kmeans_,gr-truth,2,Sample dimensions,3,0.00383,0.083,0.068,0.033,0.00094,8e-05,0.00014,0.38925,0.05842000000000001,0.02766,0.39019,0.05849,0.0278,/
10000,784,10,kmeans_,gr-truth,2,Sample dimensions,1,0.00128,0.016,0.016,0.038,0.00045,0.00013,0.00013,0.70641,0.6552,0.93878,0.70686,0.65533,0.93891,/
10000,784,10,kmeans_,gr-truth,3,Coin flip,392,0.5,0.502,0.02,0.017,0.37189,0.08645,0.26839,6.06247,0.44638999999999995,0.29782,6.43436,0.53285,0.56621,0.5625
10000,784,10,kmeans_,gr-truth,3,Coin flip,156,0.19898,0.464,0.02,0.017,0.17224,0.03661,0.02553,3.17941,0.24664,0.57825,3.35165,0.28325,0.6037899999999999,/
10000,784,10,kmeans_,gr-truth,3,Coin flip,78,0.09949,0.417,0.023,0.018,0.10975,0.01456,0.02418,2.2052,0.29849000000000003,0.33571999999999996,2.31495,0.31305,0.3599,/
10000,784,10,kmeans_,gr-truth,3,Coin flip,39,0.04974,0.378,0.035,0.037,0.0608,0.01112,0.01938,1.51677,0.11465,0.07899,1.57757,0.12577,0.09837,/
10000,784,10,kmeans_,gr-truth,3,Coin flip,7,0.00893,0.218,0.055,0.035,0.03171,0.00417,0.00849,0.9117,0.10722000000000001,0.04353,0.9434,0.11139,0.052020000000000004,/
10000,784,10,kmeans_,gr-truth,3,Coin flip,3,0.00383,0.126,0.055,0.03,0.03445,0.00925,0.00733,0.94483,0.11971,0.18156,0.97927,0.12897,0.18889,/
10000,784,10,kmeans_,gr-truth,3,Coin flip,1,0.00128,0.058,0.011,0.011,0.00731,0.00042,0.00031,0.27141,0.06564,0.05454,0.27872,0.06606,0.05485,/
10000,784,10,kmeans_,gr-truth,4,Fast JL Transform,392,0.5,0.499,0.024,0.02,0.76803,0.18015,0.60819,6.19986,0.62654,0.6474,6.96789,0.80669,1.25559,0.051
10000,784,10,kmeans_,gr-truth,4,Fast JL Transform,156,0.19898,0.48,0.016,0.027,0.71697,0.12626,0.06198,2.64573,0.30268,0.32148000000000004,3.36269,0.42894,0.38345999999999997,0.080
10000,784,10,kmeans_,gr-truth,4,Fast JL Transform,78,0.09949,0.445,0.022,0.019,0.78686,0.09974,0.05141,1.61414,0.10830999999999999,0.10124,2.401,0.20805,0.15265,0.113
10000,784,10,kmeans_,gr-truth,4,Fast JL Transform,39,0.04974,0.373,0.029,0.017,0.77721,0.06677,0.08377,1.40495,0.22033000000000003,0.30538000000000004,2.18216,0.2871,0.38915,0.160
10000,784,10,kmeans_,gr-truth,4,Fast JL Transform,7,0.00893,0.193,0.015,0.022,0.76653,0.05363,0.03649,1.11336,0.11903,0.0671,1.87988,0.17266,0.10359000000000002,0.378
10000,784,10,kmeans_,gr-truth,4,Fast JL Transform,3,0.00383,0.12,0.038,0.049,0.75585,0.04831,0.04147,0.73052,0.13322,0.09351,1.48637,0.18154,0.13497,0.577
10000,784,10,kmeans_,gr-truth,4,Fast JL Transform,1,0.00128,0.084,0.029,0.034,0.6811,0.01181,0.01389,0.24039,0.053320000000000006,0.10253,0.92149,0.06514,0.11642000000000001,1.000
10000,784,10,kmeans_,gr-truth,5,PCA,392,0.5,0.502,0.002,0.002,2.99931,0.53323,1.0621,6.20853,0.36296999999999996,0.6100399999999999,9.20784,0.89621,1.67213,/
10000,784,10,kmeans_,gr-truth,5,PCA,156,0.19898,0.503,0.002,0.006,1.42305,0.13249,0.33499,2.81266,0.21624000000000002,0.4472,4.23571,0.34873,0.7821899999999999,/
10000,784,10,kmeans_,gr-truth,5,PCA,78,0.09949,0.504,0.003,0.004,1.42322,0.47701,0.74241,1.81467,0.15715,0.16291,3.23789,0.63416,0.9053200000000001,/
10000,784,10,kmeans_,gr-truth,5,PCA,39,0.04974,0.506,0.005,0.016,0.78453,0.12212,0.28026,1.15123,0.04721,0.04583,1.93576,0.16932,0.3261,/
10000,784,10,kmeans_,gr-truth,5,PCA,7,0.00893,0.471,0.001,0.0,0.57059,0.04778,0.08484,0.8212,0.03403,0.02743,1.39179,0.08181,0.11227000000000001,/
10000,784,10,kmeans_,gr-truth,5,PCA,3,0.00383,0.391,0.001,0.002,0.51368,0.02638,0.01561,0.68704,0.05416,0.03462,1.20072,0.08054,0.050230000000000004,/
10000,784,10,kmeans_,gr-truth,5,PCA,1,0.00128,0.221,0.001,0.001,0.50369,0.03152,0.06725,0.21383,0.01289,0.02496,0.71752,0.04442,0.09221,/
