n,d,n_clust,test_pr,eval_against,method,methodname,k,k/d,vmeas,vm_min,vm_max,t_red,tred_min,tred_max,t_test,ttest_min,ttest_max,t_tot,ttot_min,ttot_max,eps
1024,1024,16,kmeans_,gr-truth,0,Baseline,1024,1.0,1.0,0.0,0.0,0.0,-inf,0.0,1.76838,0.25064000000000003,0.2347,1.76838,-inf,0.2347,
1024,1024,16,kmeans_,gr-truth,1,Highest dispersion,512,0.5,1.0,0.0,0.0,0.02071,0.00766,0.01469,1.38838,0.24883000000000002,0.18286,1.40909,0.2565,0.19755999999999999,/
1024,1024,16,kmeans_,gr-truth,1,Highest dispersion,204,0.19922,1.0,0.0,0.0,0.02654,0.01247,0.01349,0.85621,0.07743,0.08845,0.88274,0.0899,0.10194,/
1024,1024,16,kmeans_,gr-truth,1,Highest dispersion,102,0.09961,1.0,0.0,0.0,0.02604,0.0123,0.02218,0.66257,0.06087000000000001,0.055729999999999995,0.68861,0.07317,0.07792,/
1024,1024,16,kmeans_,gr-truth,1,Highest dispersion,51,0.0498,1.0,0.0,0.0,0.02461,0.01137,0.04104,0.40578,0.12122000000000001,0.14035999999999998,0.43038,0.13259,0.1814,/
1024,1024,16,kmeans_,gr-truth,1,Highest dispersion,10,0.00977,1.0,0.0,0.0,0.02129,0.00873,0.02085,0.34636,0.09068,0.1407,0.36765,0.09941,0.16155,/
1024,1024,16,kmeans_,gr-truth,1,Highest dispersion,5,0.00488,1.0,0.0,0.0,0.02164,0.00621,0.00847,0.08035,0.03171,0.051539999999999996,0.10199,0.03792,0.06001,/
1024,1024,16,kmeans_,gr-truth,1,Highest dispersion,1,0.00098,0.974,0.01,0.004,0.01401,0.00284,0.00306,0.051,0.0092,0.01205,0.06501,0.01204,0.0151,/
1024,1024,16,kmeans_,gr-truth,2,Sample dimensions,512,0.5,1.0,0.0,0.0,0.00346,0.00224,0.00805,1.01817,0.056389999999999996,0.04688,1.02162,0.05863,0.05492999999999999,/
1024,1024,16,kmeans_,gr-truth,2,Sample dimensions,204,0.19922,1.0,0.0,0.0,0.00079,0.00022,0.00038,0.61517,0.06091,0.06527000000000001,0.61596,0.06113,0.06565,/
1024,1024,16,kmeans_,gr-truth,2,Sample dimensions,102,0.09961,1.0,0.0,0.0,0.00055,4e-05,3e-05,0.4067,0.0216,0.0315,0.40725,0.02164,0.03152,/
1024,1024,16,kmeans_,gr-truth,2,Sample dimensions,51,0.0498,1.0,0.0,0.0,0.00111,0.00072,0.00272,0.36424,0.020419999999999997,0.02945,0.36535,0.02114,0.03217,/
1024,1024,16,kmeans_,gr-truth,2,Sample dimensions,10,0.00977,1.0,0.0,0.0,0.00037,6e-05,0.00015,0.30561,0.0674,0.04798,0.30598,0.06745,0.04813,/
1024,1024,16,kmeans_,gr-truth,2,Sample dimensions,5,0.00488,1.0,0.0,0.0,0.00024,4e-05,7e-05,0.05652,0.02435,0.07723,0.05676,0.02439,0.0773,/
1024,1024,16,kmeans_,gr-truth,2,Sample dimensions,1,0.00098,0.948,0.026,0.027,0.00019,1e-05,1e-05,0.03314,0.00216,0.00518,0.03333,0.00217,0.00519,/
1024,1024,16,kmeans_,gr-truth,3,Coin flip,512,0.5,1.0,0.0,0.0,0.47501,0.02177,0.00953,1.13947,0.09025,0.10095,1.61448,0.11202,0.11048,0.3984375
1024,1024,16,kmeans_,gr-truth,3,Coin flip,204,0.19922,1.0,0.0,0.0,0.26649,0.0153,0.02238,0.61182,0.06998,0.078,0.87831,0.08528,0.10038,0.78125
1024,1024,16,kmeans_,gr-truth,3,Coin flip,102,0.09961,1.0,0.0,0.0,0.18072,0.0267,0.01912,0.47568,0.09177,0.04554,0.6564,0.11847,0.06466000000000001,/
1024,1024,16,kmeans_,gr-truth,3,Coin flip,51,0.0498,1.0,0.0,0.0,0.103,0.03484,0.03083,0.3859,0.03252,0.05856,0.48891,0.06736,0.08939,/
1024,1024,16,kmeans_,gr-truth,3,Coin flip,10,0.00977,1.0,0.0,0.0,0.04465,0.00788,0.01132,0.26962,0.02315,0.03586,0.31427,0.03103,0.04717,/
1024,1024,16,kmeans_,gr-truth,3,Coin flip,5,0.00488,1.0,0.0,0.0,0.02382,0.0131,0.03547,0.10917,0.02267,0.01583,0.13299,0.03577,0.0513,/
1024,1024,16,kmeans_,gr-truth,3,Coin flip,1,0.00098,0.953,0.019,0.019,0.00668,0.00185,0.00143,0.11522,0.0293,0.028010000000000004,0.1219,0.03115,0.02945,/
1024,1024,16,kmeans_,gr-truth,4,Fast JL Transform,512,0.5,1.0,0.0,0.0,0.13541,0.02258,0.02259,1.08578,0.11275999999999999,0.08241,1.22119,0.13534,0.105,0.044
1024,1024,16,kmeans_,gr-truth,4,Fast JL Transform,204,0.19922,1.0,0.0,0.0,0.10904,0.01312,0.01434,0.59611,0.05889,0.04244,0.70515,0.072,0.05678,0.070
1024,1024,16,kmeans_,gr-truth,4,Fast JL Transform,102,0.09961,1.0,0.0,0.0,0.12472,0.02641,0.01998,0.42473,0.05035,0.11731,0.54945,0.07676,0.13729,0.099
1024,1024,16,kmeans_,gr-truth,4,Fast JL Transform,51,0.0498,1.0,0.0,0.0,0.11316,0.02126,0.04046,0.24058,0.0101,0.01433,0.35373,0.03136,0.0548,0.140
1024,1024,16,kmeans_,gr-truth,4,Fast JL Transform,10,0.00977,1.0,0.0,0.0,0.10094,0.01037,0.01335,0.22508,0.027010000000000003,0.045630000000000004,0.32602,0.03738,0.05898,0.316
1024,1024,16,kmeans_,gr-truth,4,Fast JL Transform,5,0.00488,1.0,0.0,0.0,0.05971,0.01394,0.04468,0.02969,0.00251,0.0030600000000000002,0.0894,0.01645,0.04773,0.447
1024,1024,16,kmeans_,gr-truth,4,Fast JL Transform,1,0.00098,0.934,0.035,0.046,0.04534,0.00272,0.00389,0.02748,0.00116,0.00172,0.07283,0.00388,0.00562,1.000
1024,1024,16,kmeans_,gr-truth,5,PCA,512,0.5,1.0,0.0,0.0,2.028,0.55342,0.91448,1.44644,0.19859000000000002,0.19733,3.47444,0.75201,1.11181,/
1024,1024,16,kmeans_,gr-truth,5,PCA,204,0.19922,1.0,0.0,0.0,0.85089,0.21219,0.14796,0.86228,0.17017000000000002,0.21499000000000001,1.71317,0.38237,0.36295,/
1024,1024,16,kmeans_,gr-truth,5,PCA,102,0.09961,1.0,0.0,0.0,0.50645,0.14096,0.1188,0.55228,0.09376,0.0753,1.05874,0.23472,0.1941,/
1024,1024,16,kmeans_,gr-truth,5,PCA,51,0.0498,1.0,0.0,0.0,0.25212,0.07263,0.15667,0.36516,0.05389,0.09826,0.61728,0.12652,0.25493000000000005,/
1024,1024,16,kmeans_,gr-truth,5,PCA,10,0.00977,1.0,0.0,0.0,0.11396,0.01984,0.01642,0.31258,0.04187,0.04278,0.42654,0.06171,0.0592,/
1024,1024,16,kmeans_,gr-truth,5,PCA,5,0.00488,1.0,0.0,0.0,0.06993,0.01816,0.04144,0.1325,0.03773,0.025689999999999998,0.20243,0.05588,0.06713,/
1024,1024,16,kmeans_,gr-truth,5,PCA,1,0.00098,0.999,0.004,0.001,0.06934,0.02275,0.04184,0.11812,0.03896,0.03771,0.18746,0.06172,0.07955,/
