n,d,n_clust,test_pr,eval_against,method,methodname,k,k/d,vmeas,vm_min,vm_max,t_red,tred_min,tred_max,t_test,ttest_min,ttest_max,t_tot,ttot_min,ttot_max,eps
10000,784,10,kneigh_,gr-truth,0,Baseline,784,1.0,0.707,0.0,0.0,0.0,-inf,0.0,49.48955,2.44892,1.50963,49.48955,-inf,1.50963,
10000,784,10,kneigh_,gr-truth,1,Highest dispersion,392,0.5,0.681,0.0,0.0,0.20681,0.06339,0.08286,31.93869,1.61332,1.01855,32.14551,1.67671,1.10141,/
10000,784,10,kneigh_,gr-truth,1,Highest dispersion,156,0.19898,0.416,-0.0,0.0,0.21879,0.11994,0.14371,12.0317,0.43938,0.33897,12.25049,0.55932,0.48268,/
10000,784,10,kneigh_,gr-truth,1,Highest dispersion,78,0.09949,0.353,0.0,0.0,0.21751,0.11763,0.12831,6.83877,0.1337,0.07347,7.05628,0.25134,0.20178,/
10000,784,10,kneigh_,gr-truth,1,Highest dispersion,39,0.04974,0.302,0.0,0.0,0.12547,0.03131,0.03447,4.13383,0.057170000000000006,0.12353,4.25930,0.08848,0.15801,/
10000,784,10,kneigh_,gr-truth,1,Highest dispersion,7,0.00893,0.15,0.0,0.0,0.09344,0.01803,0.01807,2.08629,0.07911,0.03917,2.17974,0.09715,0.05724,/
10000,784,10,kneigh_,gr-truth,1,Highest dispersion,3,0.00383,0.118,0.0,0.0,0.0731,0.00764,0.02023,2.01186,0.0355,0.01914,2.08496,0.04314,0.03937,/
10000,784,10,kneigh_,gr-truth,1,Highest dispersion,1,0.00128,0.105,-0.0,0.0,0.07315,0.00863,0.01147,1.95829,0.04535,0.15002,2.03144,0.05397,0.16149,/
10000,784,10,kneigh_,gr-truth,2,Sample dimensions,392,0.5,0.689,0.005,0.012,0.09589,0.01846,0.05065,31.83475,5.19294,5.19525,31.93064,5.2114,5.24590,/
10000,784,10,kneigh_,gr-truth,2,Sample dimensions,156,0.19898,0.65,0.024,0.023,0.04651,0.01729,0.06603,12.75175,1.32081,0.92752,12.798261.33810,0.99355,/,
10000,784,10,kneigh_,gr-truth,2,Sample dimensions,78,0.09949,0.564,0.042,0.032,0.0198,0.00559,0.02039,7.74372,0.6651100000000001,1.81896,7.76352,0.6707,1.83934,/
10000,784,10,kneigh_,gr-truth,2,Sample dimensions,39,0.04974,0.399,0.049,0.057,0.00913,0.00186,0.00152,5.26869,0.19025,0.28189,5.27782,0.19211,0.28341,/
10000,784,10,kneigh_,gr-truth,2,Sample dimensions,7,0.00893,0.137,0.046,0.041,0.00191,0.00038,0.00095,1.51572,0.50103,0.74432,1.51762,0.50142,0.74527,/
10000,784,10,kneigh_,gr-truth,2,Sample dimensions,3,0.00383,0.106,0.052,0.041,0.00121,0.00048,0.00144,1.25862,0.15628,0.45932,1.25983,0.15676,0.46076,/
10000,784,10,kneigh_,gr-truth,2,Sample dimensions,1,0.00128,0.048,0.048,0.058,0.00042,5e-05,0.00017,1.87914,0.76332,0.62315,1.87955,0.76338,0.62332,/
10000,784,10,kneigh_,gr-truth,3,Coin flip,392,0.5,0.697,0.004,0.007,0.34059,0.03697,0.0425,31.96828,1.6833099999999999,0.74072,32.30887,1.72028,0.78322,0.5625
10000,784,10,kneigh_,gr-truth,3,Coin flip,156,0.19898,0.684,0.017,0.016,0.15057,0.02276,0.0373,13.73924,1.04769,0.65207,13.88981,1.07046,0.68937,/
