n,d,n_clust,test_pr,eval_against,method,methodname,k,k/d,vmeas,vmeas_e1,time,eps
7000,5000,2,kmeans_,gr-truth,0,Baseline,5000,1.0,0.122,0.00122,140.680531,\
7000,5000,2,kmeans_,baseline,2,Sample dimensions,50,0.01,0.067,0.0335,0.453347,/
7000,5000,2,kmeans_,baseline,2,Sample dimensions,20,0.004,0.071,0.0355,0.295053,/
7000,5000,2,kmeans_,baseline,2,Sample dimensions,10,0.002,0.011000000000000001,0.0055000000000000005,0.29971,/
7000,5000,2,kmeans_,baseline,2,Sample dimensions,5,0.001,0.027999999999999997,0.013999999999999999,0.22054400000000002,/
7000,5000,2,kmeans_,baseline,2,Sample dimensions,1,0.0002,0.008,0.004,0.044186,/
7000,5000,2,kmeans_,baseline,1,Highest-variance,50,0.01,0.022000000000000002,0.0,0.431546,/
7000,5000,2,kmeans_,baseline,1,Highest-variance,20,0.004,0.013999999999999999,0.00014,0.342357,/
7000,5000,2,kmeans_,baseline,1,Highest-variance,10,0.002,0.193,0.0,0.292528,/
7000,5000,2,kmeans_,baseline,1,Highest-variance,5,0.001,0.023,0.00023,0.268497,/
7000,5000,2,kmeans_,baseline,1,Highest-variance,1,0.0002,0.01,0.0,0.023578,/
7000,5000,2,kmeans_,baseline,5,PCA,50,0.01,0.973,0.0,0.453813,/
7000,5000,2,kmeans_,baseline,5,PCA,20,0.004,0.963,0.00963,0.35634499999999997,/
7000,5000,2,kmeans_,baseline,5,PCA,10,0.002,0.943,0.0,0.379565,/
7000,5000,2,kmeans_,baseline,5,PCA,5,0.001,0.935,0.0,0.308255,/
7000,5000,2,kmeans_,baseline,5,PCA,1,0.0002,0.8759999999999999,0.0,0.038045999999999996,/
7000,5000,2,kmeans_,baseline,6,Factor Analysis,50,0.01,0.086,0.043,0.6575,/
7000,5000,2,kmeans_,baseline,6,Factor Analysis,20,0.004,0.11900000000000001,0.059500000000000004,0.482887,/
7000,5000,2,kmeans_,baseline,6,Factor Analysis,10,0.002,0.027000000000000003,0.0005400000000000001,0.472236,/
7000,5000,2,kmeans_,baseline,6,Factor Analysis,5,0.001,0.244,0.007319999999999999,0.402609,/
7000,5000,2,kmeans_,baseline,6,Factor Analysis,1,0.0002,0.37799999999999995,0.0,0.15682000000000001,/
7000,5000,2,kmeans_,baseline,3,Coin flip,50,0.01,0.184,0.092,0.551712,/
7000,5000,2,kmeans_,baseline,3,Coin flip,20,0.004,0.092,0.046,0.419308,/
7000,5000,2,kmeans_,baseline,3,Coin flip,10,0.002,0.125,0.01375,0.363657,/
7000,5000,2,kmeans_,baseline,3,Coin flip,5,0.001,0.059000000000000004,0.029500000000000002,0.386866,/
7000,5000,2,kmeans_,baseline,3,Coin flip,1,0.0002,0.006,0.003,0.123001,/
7000,5000,2,kmeans_,baseline,4,Fast JL Transform,50,0.01,0.003,0.0015,0.444247,0.1414213562373095
7000,5000,2,kmeans_,baseline,4,Fast JL Transform,20,0.004,0.031,0.0155,0.347521,0.22360679774997896
7000,5000,2,kmeans_,baseline,4,Fast JL Transform,10,0.002,0.03,0.015,0.42512799999999995,0.31622776601683794
7000,5000,2,kmeans_,baseline,4,Fast JL Transform,5,0.001,0.043,0.0215,0.3434,0.4472135954999579
7000,5000,2,kmeans_,baseline,4,Fast JL Transform,1,0.0002,0.024,0.012,0.120553,1.0
