n,d,n_clust,test_pr,eval_against,method,methodname,k,k/d,vmeas,vmeas_e1,time,eps
10000,784,10,kmeans_,gr-truth,0,Baseline,784,1.0,0.508,0.01016,12.826467,\
10000,784,10,kmeans_,baseline,2,Sample dimensions,50,0.06378,0.37200000000000005,0.014880000000000003,1.505885/,nan
10000,784,10,kmeans_,baseline,2,Sample dimensions,20,0.02551,0.258,0.041280000000000004,0.861180/,nan
10000,784,10,kmeans_,baseline,2,Sample dimensions,10,0.01276,0.225,0.0405,283.103801/,nan
10000,784,10,kmeans_,baseline,2,Sample dimensions,5,0.00638,0.14,0.07,0.439439/,nan
10000,784,10,kmeans_,baseline,2,Sample dimensions,1,0.00128,0.051,0.0255,0.100378/,nan
10000,784,10,kmeans_,baseline,1,Highest-variance,50,0.06378,0.47700000000000004,0.0,1.498537/,nan
10000,784,10,kmeans_,baseline,1,Highest-variance,20,0.02551,0.353,0.0,0.936869/,nan
10000,784,10,kmeans_,baseline,1,Highest-variance,10,0.01276,0.27,0.0081,0.982066/,nan
10000,784,10,kmeans_,baseline,1,Highest-variance,5,0.00638,0.257,0.0025700000000000002,0.593702/,nan
10000,784,10,kmeans_,baseline,1,Highest-variance,1,0.00128,0.11,0.0,0.134673/,nan
10000,784,10,kmeans_,baseline,5,PCA,50,0.06378,0.929,0.009290000000000001,1.490818/,nan
10000,784,10,kmeans_,baseline,5,PCA,20,0.02551,0.7509999999999999,0.0,1.077079/,nan
10000,784,10,kmeans_,baseline,5,PCA,10,0.01276,0.737,0.02948,0.821235/,nan
10000,784,10,kmeans_,baseline,5,PCA,5,0.00638,0.5820000000000001,0.0,0.785660/,nan
10000,784,10,kmeans_,baseline,5,PCA,1,0.00128,0.26899999999999996,0.0,0.221110/,nan
10000,784,10,kmeans_,baseline,6,Factor Analysis,50,0.06378,0.48100000000000004,0.019240000000000004,1.974617/,nan
10000,784,10,kmeans_,baseline,6,Factor Analysis,20,0.02551,0.51,0.0153,1.259587/,nan
10000,784,10,kmeans_,baseline,6,Factor Analysis,10,0.01276,0.539,0.0,1.191009/,nan
10000,784,10,kmeans_,baseline,6,Factor Analysis,5,0.00638,0.501,0.0,0.831048/,nan
10000,784,10,kmeans_,baseline,6,Factor Analysis,1,0.00128,0.242,0.0,0.268600/,nan
10000,784,10,kmeans_,baseline,3,Coin flip,50,0.06378,0.51,0.0714,1.450296,/
10000,784,10,kmeans_,baseline,3,Coin flip,20,0.02551,0.382,0.02292,1.097953,/
10000,784,10,kmeans_,baseline,3,Coin flip,10,0.01276,0.275,0.022000000000000002,0.973502,/
10000,784,10,kmeans_,baseline,3,Coin flip,5,0.00638,0.19899999999999998,0.041789999999999994,0.863744,/
10000,784,10,kmeans_,baseline,3,Coin flip,1,0.00128,0.083,0.012450000000000001,0.263248,/
10000,784,10,kmeans_,baseline,4,Fast JL Transform,50,0.06378,0.109,0.01308,1.158174,0.1414213562373095
10000,784,10,kmeans_,baseline,4,Fast JL Transform,20,0.02551,0.09300000000000001,0.04650000000000001,0.906110,0.22360679774997896
10000,784,10,kmeans_,baseline,4,Fast JL Transform,10,0.01276,0.087,0.01392,0.742964,0.31622776601683794
10000,784,10,kmeans_,baseline,4,Fast JL Transform,5,0.00638,0.049,0.0147,0.736180,0.4472135954999579
10000,784,10,kmeans_,baseline,4,Fast JL Transform,1,0.00128,0.09699999999999999,0.03491999999999999,0.312443,1.0
