n,d,n_clust,test_pr,eval_against,method,methodname,k,k/d,vmeas,vmeas_e1,time,eps
10000,784,10,kneigh_,gr-truth,0,Baseline,784,1.0,0.7070000000000001,0.0,45.520858,\
10000,784,10,kneigh_,baseline,2,Sample dimensions,50,0.06378,0.48700000000000004,0.03409000000000001,5.844343/,nan
10000,784,10,kneigh_,baseline,2,Sample dimensions,20,0.02551,0.256,0.06912,2.607686/,nan
10000,784,10,kneigh_,baseline,2,Sample dimensions,10,0.01276,0.16399999999999998,0.050839999999999996,2.035812/,nan
10000,784,10,kneigh_,baseline,2,Sample dimensions,5,0.00638,0.162,0.012960000000000001,1.303718/,nan
10000,784,10,kneigh_,baseline,2,Sample dimensions,1,0.00128,0.013000000000000001,0.006500000000000001,2.218106/,nan
10000,784,10,kneigh_,baseline,1,Highest-variance,50,0.06378,0.5720000000000001,0.0,5.443551/,nan
10000,784,10,kneigh_,baseline,1,Highest-variance,20,0.02551,0.445,0.0,3.064153/,nan
10000,784,10,kneigh_,baseline,1,Highest-variance,10,0.01276,0.341,0.0,1.455181/,nan
10000,784,10,kneigh_,baseline,1,Highest-variance,5,0.00638,0.281,0.0,0.919193/,nan
10000,784,10,kneigh_,baseline,1,Highest-variance,1,0.00128,0.14400000000000002,0.0,1.014389/,nan
10000,784,10,kneigh_,baseline,5,PCA,50,0.06378,0.863,0.0,5.117799/,nan
10000,784,10,kneigh_,baseline,5,PCA,20,0.02551,0.838,0.0,3.258731/,nan
10000,784,10,kneigh_,baseline,5,PCA,10,0.01276,0.769,0.0,2.133017/,nan
10000,784,10,kneigh_,baseline,5,PCA,5,0.00638,0.613,0.0,1.170830/,nan
10000,784,10,kneigh_,baseline,5,PCA,1,0.00128,0.24,0.0,0.696126/,nan
10000,784,10,kneigh_,baseline,6,Factor Analysis,50,0.06378,0.584,0.0,5.617898/,nan
10000,784,10,kneigh_,baseline,6,Factor Analysis,20,0.02551,0.745,0.0,3.896235/,nan
10000,784,10,kneigh_,baseline,6,Factor Analysis,10,0.01276,0.71,0.0,2.505524/,nan
10000,784,10,kneigh_,baseline,6,Factor Analysis,5,0.00638,0.57,0.0,1.131447/,nan
10000,784,10,kneigh_,baseline,6,Factor Analysis,1,0.00128,0.198,0.0,0.715565/,nan
10000,784,10,kneigh_,baseline,3,Coin flip,50,0.06378,0.6579999999999999,0.019739999999999997,5.815370,/
10000,784,10,kneigh_,baseline,3,Coin flip,20,0.02551,0.521,0.026050000000000004,4.199302,/
10000,784,10,kneigh_,baseline,3,Coin flip,10,0.01276,0.368,0.01104,2.632825,/
10000,784,10,kneigh_,baseline,3,Coin flip,5,0.00638,0.261,0.04437000000000001,1.344539,/
10000,784,10,kneigh_,baseline,3,Coin flip,1,0.00128,0.047,0.00799,0.757216,/
10000,784,10,kneigh_,baseline,4,Fast JL Transform,50,0.06378,0.065,0.0325,0.886774,0.1414213562373095
10000,784,10,kneigh_,baseline,4,Fast JL Transform,20,0.02551,0.054000000000000006,0.008640000000000002,0.828845,0.22360679774997896
10000,784,10,kneigh_,baseline,4,Fast JL Transform,10,0.01276,0.102,0.051,0.748283,0.31622776601683794
10000,784,10,kneigh_,baseline,4,Fast JL Transform,5,0.00638,0.07,0.03150000000000001,0.730973,0.4472135954999579
10000,784,10,kneigh_,baseline,4,Fast JL Transform,1,0.00128,0.066,0.01056,0.693384,1.0
