n,d,n_clust,test_pr,eval_against,method,methodname,k,k/d,vmeas,vmeas_e1,time,eps
1024,256,16,kmeans_,gr-truth,0,Baseline,256,1.0,1.0,0.0,0.657003,\
1024,256,16,kmeans_,baseline,2,Sample dimensions,50,0.19531,1.0,0.0,0.291612/,nan
1024,256,16,kmeans_,baseline,2,Sample dimensions,20,0.07812,1.0,0.0,0.273616/,nan
1024,256,16,kmeans_,baseline,2,Sample dimensions,10,0.03906,1.0,0.0,0.266440/,nan
1024,256,16,kmeans_,baseline,2,Sample dimensions,5,0.01953,1.0,0.0,0.040446/,nan
1024,256,16,kmeans_,baseline,2,Sample dimensions,1,0.00391,0.9259999999999999,0.0463,0.036840/,nan
1024,256,16,kmeans_,baseline,1,Highest-variance,50,0.19531,1.0,0.0,0.308391/,nan
1024,256,16,kmeans_,baseline,1,Highest-variance,20,0.07812,1.0,0.0,0.246991/,nan
1024,256,16,kmeans_,baseline,1,Highest-variance,10,0.03906,1.0,0.0,0.245839/,nan
1024,256,16,kmeans_,baseline,1,Highest-variance,5,0.01953,1.0,0.0,0.038987/,nan
1024,256,16,kmeans_,baseline,1,Highest-variance,1,0.00391,0.895,0.00895,0.040883/,nan
1024,256,16,kmeans_,baseline,5,PCA,50,0.19531,1.0,0.0,0.294511/,nan
1024,256,16,kmeans_,baseline,5,PCA,20,0.07812,1.0,0.0,0.273534/,nan
1024,256,16,kmeans_,baseline,5,PCA,10,0.03906,1.0,0.0,0.258307/,nan
1024,256,16,kmeans_,baseline,5,PCA,5,0.01953,1.0,0.0,0.111618/,nan
1024,256,16,kmeans_,baseline,5,PCA,1,0.00391,0.996,0.0,0.148303/,nan
1024,256,16,kmeans_,baseline,6,Factor Analysis,50,0.19531,0.982,0.0,0.326941/,nan
1024,256,16,kmeans_,baseline,6,Factor Analysis,20,0.07812,1.0,0.0,0.275445/,nan
1024,256,16,kmeans_,baseline,6,Factor Analysis,10,0.03906,1.0,0.0,0.273473/,nan
1024,256,16,kmeans_,baseline,6,Factor Analysis,5,0.01953,1.0,0.0,0.089395/,nan
1024,256,16,kmeans_,baseline,6,Factor Analysis,1,0.00391,0.953,0.0,0.096828,/
1024,256,16,kmeans_,baseline,3,Coin flip,50,0.19531,1.0,0.0,0.286395,/
1024,256,16,kmeans_,baseline,3,Coin flip,20,0.07812,1.0,0.0,0.338005,/
1024,256,16,kmeans_,baseline,3,Coin flip,10,0.03906,1.0,0.0,0.249638,/
1024,256,16,kmeans_,baseline,3,Coin flip,5,0.01953,1.0,0.0,0.110242,/
1024,256,16,kmeans_,baseline,3,Coin flip,1,0.00391,0.9229999999999999,0.04615,0.084789,/
1024,256,16,kmeans_,baseline,4,Fast JL Transform,50,0.19531,0.924,0.02772,0.287989,0.1414213562373095
1024,256,16,kmeans_,baseline,4,Fast JL Transform,20,0.07812,0.9,0.018000000000000002,0.268480,0.22360679774997896
1024,256,16,kmeans_,baseline,4,Fast JL Transform,10,0.03906,0.89,0.026699999999999998,0.257212,0.31622776601683794
1024,256,16,kmeans_,baseline,4,Fast JL Transform,5,0.01953,0.89,0.044500000000000005,0.111799,0.4472135954999579
1024,256,16,kmeans_,baseline,4,Fast JL Transform,1,0.00391,0.9229999999999999,0.027689999999999996,0.110598,1.0
