n,d,n_clust,test_pr,eval_against,method,methodname,k,k/d,vmeas,vmeas_e1,time,eps
1797,64,10,kmeans_,gr-truth,0,Baseline,64,1.0,0.743,0.0,0.328443,\
1797,64,10,kmeans_,gr-truth,0,Baseline,64,1.0,0.743,0.0,0.491442,\
1797,64,10,kmeans_,gr-truth,0,Baseline,64,1.0,0.742,0.0,0.395748,\
1797,64,10,kmeans_,gr-truth,0,Baseline,64,1.0,0.743,0.0,0.404946,\
1797,64,10,kmeans_,gr-truth,0,Baseline,64,1.0,0.741,0.0,0.392027,\
1797,64,10,kmeans_,gr-truth,0,Baseline,64,1.0,0.741,0.0,0.446439,\
1797,64,10,kmeans_,gr-truth,0,Baseline,64,1.0,0.743,0.0,0.477688,\
1797,64,10,kmeans_,baseline,2,Sample dimensions,50,0.78125,0.812,0.04872,0.473325/,nan
1797,64,10,kmeans_,baseline,2,Sample dimensions,20,0.3125,0.564,0.11843999999999999,0.395228/,nan
1797,64,10,kmeans_,baseline,2,Sample dimensions,10,0.15625,0.47100000000000003,0.01413,0.344577/,nan
1797,64,10,kmeans_,baseline,2,Sample dimensions,5,0.07812,0.32899999999999996,0.03618999999999999,0.110267/,nan
1797,64,10,kmeans_,baseline,2,Sample dimensions,1,0.01562,0.183,0.01281,0.039500/,nan
1797,64,10,kmeans_,baseline,1,Highest-variance,50,0.78125,0.9740000000000001,0.00974,0.449528/,nan
1797,64,10,kmeans_,baseline,1,Highest-variance,20,0.3125,0.772,0.0,0.348837/,nan
1797,64,10,kmeans_,baseline,1,Highest-variance,10,0.15625,0.54,0.0,0.385735/,nan
1797,64,10,kmeans_,baseline,1,Highest-variance,5,0.07812,0.42100000000000004,0.0,0.113554/,nan
1797,64,10,kmeans_,baseline,1,Highest-variance,1,0.01562,0.18899999999999997,0.0,0.040322/,nan
1797,64,10,kmeans_,baseline,5,PCA,50,0.78125,0.97,0.0097,0.462648/,nan
1797,64,10,kmeans_,baseline,5,PCA,20,0.3125,0.987,0.0,0.346539/,nan
1797,64,10,kmeans_,baseline,5,PCA,10,0.15625,0.938,0.0,0.312023/,nan
1797,64,10,kmeans_,baseline,5,PCA,5,0.07812,0.767,0.0,0.197436/,nan
1797,64,10,kmeans_,baseline,5,PCA,1,0.01562,0.36200000000000004,0.0,0.191919/,nan
1797,64,10,kmeans_,baseline,6,Factor Analysis,50,0.78125,0.7140000000000001,0.02142,0.623564/,nan
1797,64,10,kmeans_,baseline,6,Factor Analysis,20,0.3125,0.685,0.006850000000000001,0.443256/,nan
1797,64,10,kmeans_,baseline,6,Factor Analysis,10,0.15625,0.7170000000000001,0.0,0.318250/,nan
1797,64,10,kmeans_,baseline,6,Factor Analysis,5,0.07812,0.618,0.0,0.232378/,nan
1797,64,10,kmeans_,baseline,6,Factor Analysis,1,0.01562,0.242,0.0,0.187094/,nan
1797,64,10,kmeans_,baseline,3,Coin flip,50,0.78125,0.711,0.01422,0.347659,/
1797,64,10,kmeans_,baseline,3,Coin flip,20,0.3125,0.6579999999999999,0.013159999999999998,0.289182,/
1797,64,10,kmeans_,baseline,3,Coin flip,10,0.15625,0.509,0.015269999999999999,0.271643,/
1797,64,10,kmeans_,baseline,3,Coin flip,5,0.07812,0.375,0.07875,0.232806,/
1797,64,10,kmeans_,baseline,3,Coin flip,1,0.01562,0.11699999999999999,0.058499999999999996,0.104006,/
1797,64,10,kmeans_,baseline,4,Fast JL Transform,50,0.78125,0.182,0.052779999999999994,0.223483,0.1414213562373095
1797,64,10,kmeans_,baseline,4,Fast JL Transform,20,0.3125,0.185,0.024050000000000002,0.188353,0.22360679774997896
1797,64,10,kmeans_,baseline,4,Fast JL Transform,10,0.15625,0.157,0.015700000000000002,0.185421,0.31622776601683794
1797,64,10,kmeans_,baseline,4,Fast JL Transform,5,0.07812,0.147,0.022049999999999997,0.151702,0.4472135954999579
1797,64,10,kmeans_,baseline,4,Fast JL Transform,1,0.01562,0.154,0.02002,0.144777,1.0
